FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
4827500000,Texas,Knox County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4828300000,Texas,La Salle County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4828300000,Texas,La Salle County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4828300000,Texas,La Salle County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4827700000,Texas,Lamar County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4827700000,Texas,Lamar County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4827700000,Texas,Lamar County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4827900000,Texas,Lamb County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No
4827900000,Texas,Lamb County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4827900000,Texas,Lamb County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No
4827900000,Texas,Lamb County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes
4828100000,Texas,Lampasas County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4828100000,Texas,Lampasas County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4828100000,Texas,Lampasas County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4828500000,Texas,Lavaca County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4828500000,Texas,Lavaca County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4828500000,Texas,Lavaca County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No
4828700000,Texas,Lee County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4828700000,Texas,Lee County,DRE-Touchscreen,Election Systems & Software,ExpressTouch,No,Yes,Yes,Yes,No
4828700000,Texas,Lee County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4828700000,Texas,Lee County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4828900000,Texas,Leon County,DRE-Touchscreen,Election Systems & Software,iVotronic,No,Yes,Yes,Yes,No
4828900000,Texas,Leon County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,No,No,No,Yes
4828900000,Texas,Leon County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4829100000,Texas,Liberty County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4829100000,Texas,Liberty County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4829100000,Texas,Liberty County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4829300000,Texas,Limestone County,DRE-Touchscreen,Election Systems & Software,iVotronic,No,Yes,Yes,Yes,No
4829300000,Texas,Limestone County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,No,No,No,Yes
4829300000,Texas,Limestone County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No
4829500000,Texas,Lipscomb County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4829500000,Texas,Lipscomb County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4829500000,Texas,Lipscomb County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4829700000,Texas,Live Oak County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4829700000,Texas,Live Oak County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4829700000,Texas,Live Oak County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4829900000,Texas,Llano County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4829900000,Texas,Llano County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4829900000,Texas,Llano County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4830100000,Texas,Loving County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4830100000,Texas,Loving County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4830100000,Texas,Loving County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4830300000,Texas,Lubbock County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4830300000,Texas,Lubbock County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,No,No,No,Yes
4830300000,Texas,Lubbock County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4830300000,Texas,Lubbock County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,Yes,No,Yes,No
